Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years
BRN,Brunei Darussalam,1990,0.781,71.629,7.51
BRN,Brunei Darussalam,1991,0.782,71.858,7.62
BRN,Brunei Darussalam,1992,0.782,72.09,7.73
BRN,Brunei Darussalam,1993,0.783,72.333,7.84
BRN,Brunei Darussalam,1994,0.782,72.571,7.95
BRN,Brunei Darussalam,1995,0.784,72.838,8.06
BRN,Brunei Darussalam,1996,0.784,73.079,8.106
BRN,Brunei Darussalam,1997,0.785,73.326,8.152
BRN,Brunei Darussalam,1998,0.785,73.584,8.198
BRN,Brunei Darussalam,1999,0.79,73.806,8.244
BRN,Brunei Darussalam,2000,0.792,74.017,8.29
BRN,Brunei Darussalam,2001,0.794,74.209,8.328
BRN,Brunei Darussalam,2002,0.798,74.365,8.366
BRN,Brunei Darussalam,2003,0.804,74.509,8.404
BRN,Brunei Darussalam,2004,0.81,74.603,8.442
BRN,Brunei Darussalam,2005,0.814,74.683,8.48
BRN,Brunei Darussalam,2006,0.819,74.753,8.538
BRN,Brunei Darussalam,2007,0.822,74.793,8.596
BRN,Brunei Darussalam,2008,0.824,74.814,8.654
BRN,Brunei Darussalam,2009,0.828,74.814,8.712
BRN,Brunei Darussalam,2010,0.83,74.82,8.77
BRN,Brunei Darussalam,2011,0.834,74.835,8.82
BRN,Brunei Darussalam,2012,0.841,74.843,8.87
BRN,Brunei Darussalam,2013,0.842,74.854,8.92
BRN,Brunei Darussalam,2014,0.841,74.862,8.97
BRN,Brunei Darussalam,2015,0.839,74.88,9.02
BRN,Brunei Darussalam,2016,0.838,74.905,9.06
BRN,Brunei Darussalam,2017,0.837,74.943,9.1
BRN,Brunei Darussalam,2018,0.837,74.992,9.14
BRN,Brunei Darussalam,2019,0.835,75.049,9.18
BRN,Brunei Darussalam,2020,0.836,75.114,9.22
BRN,Brunei Darussalam,2021,0.835,74.869,9.282
BRN,Brunei Darussalam,2022,0.825,72.917,9.282
BRN,Brunei Darussalam,2023,0.837,75.327,9.282
IDN,Indonesia,1990,0.531,63.249,3.220000029
IDN,Indonesia,1991,0.538,63.703,3.493125036
IDN,Indonesia,1992,0.545,64.182,3.766250044
IDN,Indonesia,1993,0.555,64.851,4.039375052
IDN,Indonesia,1994,0.565,65.041,4.31250006
IDN,Indonesia,1995,0.575,65.263,4.585625067
IDN,Indonesia,1996,0.585,65.465,4.858750075
IDN,Indonesia,1997,0.595,65.774,5.131875083
IDN,Indonesia,1998,0.591,65.942,5.405000091
IDN,Indonesia,1999,0.595,66.001,5.678125098
IDN,Indonesia,2000,0.6,66.292,5.951250106
IDN,Indonesia,2001,0.608,66.583,6.224375114
IDN,Indonesia,2002,0.617,66.954,6.497500122
IDN,Indonesia,2003,0.625,67.134,6.770625129
IDN,Indonesia,2004,0.624,65.521,7.043750137
IDN,Indonesia,2005,0.638,67.531,7.316875145
IDN,Indonesia,2006,0.646,67.664,7.590000153
IDN,Indonesia,2007,0.649,67.914,7.019999981
IDN,Indonesia,2008,0.653,68.085,7.070000172
IDN,Indonesia,2009,0.663,68.267,7.309999943
IDN,Indonesia,2010,0.67,68.364,7.410000086
IDN,Indonesia,2011,0.678,68.629,7.510000229
IDN,Indonesia,2012,0.686,68.862,7.606666883
IDN,Indonesia,2013,0.69,69.064,7.703333537
IDN,Indonesia,2014,0.693,69.292,7.800000191
IDN,Indonesia,2015,0.701,69.52,7.909999847
IDN,Indonesia,2016,0.705,69.733,7.980000019
IDN,Indonesia,2017,0.712,69.953,8.239589691
IDN,Indonesia,2018,0.715,70.08,8.159999847
IDN,Indonesia,2019,0.714,70.349,8.360000134
IDN,Indonesia,2020,0.71,68.817,8.56000042
IDN,Indonesia,2021,0.707,67.452,8.6972232
IDN,Indonesia,2022,0.726,70.925,8.6972232
IDN,Indonesia,2023,0.728,71.146,8.6972232
KHM,Cambodia,1990,0.387,55.205,2.817617319
KHM,Cambodia,1991,0.392,55.582,2.872084271
KHM,Cambodia,1992,0.396,55.747,2.926551222
KHM,Cambodia,1993,0.399,56.036,2.981018174
KHM,Cambodia,1994,0.4,56.221,3.035485126
KHM,Cambodia,1995,0.404,56.562,3.089952078
KHM,Cambodia,1996,0.408,56.832,3.146513913
KHM,Cambodia,1997,0.414,57.266,3.203075747
KHM,Cambodia,1998,0.419,57.859,3.259637582
KHM,Cambodia,1999,0.429,58.611,3.316199417
KHM,Cambodia,2000,0.438,59.491,3.372761251
KHM,Cambodia,2001,0.453,60.457,3.435607734
KHM,Cambodia,2002,0.473,61.395,3.498454217
KHM,Cambodia,2003,0.488,62.345,3.5613007
KHM,Cambodia,2004,0.502,63.256,3.624147183
KHM,Cambodia,2005,0.514,64.113,3.686993666
KHM,Cambodia,2006,0.525,64.886,3.808496866
KHM,Cambodia,2007,0.534,65.549,3.930000067
KHM,Cambodia,2008,0.539,66.147,4.03000021
KHM,Cambodia,2009,0.539,66.747,3.940000057
KHM,Cambodia,2010,0.543,67.311,3.872000027
KHM,Cambodia,2011,0.547,67.869,3.803999996
KHM,Cambodia,2012,0.551,68.371,3.735999966
KHM,Cambodia,2013,0.554,68.755,3.667999935
KHM,Cambodia,2014,0.557,69.117,3.599999905
KHM,Cambodia,2015,0.562,69.398,3.670000076
KHM,Cambodia,2016,0.57,69.635,3.952092528
KHM,Cambodia,2017,0.578,69.842,4.23418498
KHM,Cambodia,2018,0.586,69.993,4.516277432
KHM,Cambodia,2019,0.593,70.127,4.798369884
KHM,Cambodia,2020,0.595,70.059,4.997735023
KHM,Cambodia,2021,0.594,69.301,5.197100163
KHM,Cambodia,2022,0.602,70.528,5.197100163
KHM,Cambodia,2023,0.606,70.668,5.197100163
LAO,Lao People's Democratic Republic,1990,0.409,54.035,3.365593212
LAO,Lao People's Democratic Republic,1991,0.415,54.7,3.470155332
LAO,Lao People's Democratic Republic,1992,0.42,55.098,3.574717451
LAO,Lao People's Democratic Republic,1993,0.426,55.583,3.67927957
LAO,Lao People's Democratic Republic,1994,0.434,55.81,3.783841689
LAO,Lao People's Democratic Republic,1995,0.436,56.344,3.888403808
LAO,Lao People's Democratic Republic,1996,0.449,56.821,3.960290265
LAO,Lao People's Democratic Republic,1997,0.455,57.302,4.032176722
LAO,Lao People's Democratic Republic,1998,0.462,57.549,4.104063179
LAO,Lao People's Democratic Republic,1999,0.469,57.866,4.175949636
LAO,Lao People's Democratic Republic,2000,0.473,58.317,4.247836093
LAO,Lao People's Democratic Republic,2001,0.479,58.887,4.31972255
LAO,Lao People's Democratic Republic,2002,0.488,59.302,4.391609007
LAO,Lao People's Democratic Republic,2003,0.496,59.643,4.463495464
LAO,Lao People's Democratic Republic,2004,0.505,60.08,4.535381921
LAO,Lao People's Democratic Republic,2005,0.514,60.688,4.607268378
LAO,Lao People's Democratic Republic,2006,0.515,61.074,4.681333212
LAO,Lao People's Democratic Republic,2007,0.529,61.694,4.755398047
LAO,Lao People's Democratic Republic,2008,0.537,62.248,4.829462881
LAO,Lao People's Democratic Republic,2009,0.548,63.023,4.903527716
LAO,Lao People's Democratic Republic,2010,0.556,63.69,4.97759255
LAO,Lao People's Democratic Republic,2011,0.567,64.505,5.077797914
LAO,Lao People's Democratic Republic,2012,0.577,65.126,5.178003279
LAO,Lao People's Democratic Republic,2013,0.587,65.723,5.278208643
LAO,Lao People's Democratic Republic,2014,0.597,66.35,5.378414007
LAO,Lao People's Democratic Republic,2015,0.604,66.688,5.478619371
LAO,Lao People's Democratic Republic,2016,0.609,67.014,5.572289603
LAO,Lao People's Democratic Republic,2017,0.612,67.345,5.665959835
LAO,Lao People's Democratic Republic,2018,0.613,67.594,5.759630067
LAO,Lao People's Democratic Republic,2019,0.615,67.911,5.853300299
LAO,Lao People's Democratic Republic,2020,0.616,68.339,5.94697053
LAO,Lao People's Democratic Republic,2021,0.613,67.807,6.06024616
LAO,Lao People's Democratic Republic,2022,0.614,68.715,6.06024616
LAO,Lao People's Democratic Republic,2023,0.617,68.964,6.06024616
MMR,Myanmar,1990,0.347,57.159,2.220867026
MMR,Myanmar,1991,0.354,57.395,2.272047501
MMR,Myanmar,1992,0.368,57.681,2.323227975
MMR,Myanmar,1993,0.374,58.032,2.37440845
MMR,Myanmar,1994,0.381,58.326,2.425588925
MMR,Myanmar,1995,0.385,58.671,2.4767694
MMR,Myanmar,1996,0.391,59.169,2.548056489
MMR,Myanmar,1997,0.396,59.523,2.619343579
MMR,Myanmar,1998,0.399,59.896,2.690630669
MMR,Myanmar,1999,0.406,60.107,2.761917758
MMR,Myanmar,2000,0.415,60.357,2.833204848
MMR,Myanmar,2001,0.423,60.64,2.915459182
MMR,Myanmar,2002,0.433,60.925,2.997713517
MMR,Myanmar,2003,0.443,61.196,3.079967851
MMR,Myanmar,2004,0.453,61.443,3.162222185
MMR,Myanmar,2005,0.463,61.72,3.24447652
MMR,Myanmar,2006,0.473,62.026,3.343181721
MMR,Myanmar,2007,0.483,62.367,3.441886922
MMR,Myanmar,2008,0.468,56.364,3.540592123
MMR,Myanmar,2009,0.504,63.095,3.639297324
MMR,Myanmar,2010,0.515,63.479,3.738002525
MMR,Myanmar,2011,0.525,63.859,3.937240802
MMR,Myanmar,2012,0.535,64.251,4.136479078
MMR,Myanmar,2013,0.546,64.617,4.335717355
MMR,Myanmar,2014,0.557,64.994,4.534955631
MMR,Myanmar,2015,0.566,65.288,4.734193908
MMR,Myanmar,2016,0.574,65.64,4.849349976
MMR,Myanmar,2017,0.587,65.909,5.359566689
MMR,Myanmar,2018,0.6,66.232,5.869783401
MMR,Myanmar,2019,0.61,66.457,6.380000114
MMR,Myanmar,2020,0.609,66.612,6.380000114
MMR,Myanmar,2021,0.605,65.553,6.380000114
MMR,Myanmar,2022,0.606,66.506,6.380000114
MMR,Myanmar,2023,0.609,66.889,6.380000114
MYS,Malaysia,1990,0.653,70.952,6.147382829
MYS,Malaysia,1991,0.661,71.219,6.341312517
MYS,Malaysia,1992,0.67,71.483,6.535242205
MYS,Malaysia,1993,0.677,71.721,6.729171893
MYS,Malaysia,1994,0.684,71.865,6.923101581
MYS,Malaysia,1995,0.691,71.979,7.117031269
MYS,Malaysia,1996,0.701,72.119,7.230000019
MYS,Malaysia,1997,0.713,72.296,7.527500033
MYS,Malaysia,1998,0.718,72.385,7.825000048
MYS,Malaysia,1999,0.723,72.428,8.122500062
MYS,Malaysia,2000,0.733,72.732,8.420000076
MYS,Malaysia,2001,0.731,73.08,8.254000092
MYS,Malaysia,2002,0.732,73.469,8.088000107
MYS,Malaysia,2003,0.737,73.727,7.922000122
MYS,Malaysia,2004,0.739,74.027,7.756000137
MYS,Malaysia,2005,0.736,74.37,7.590000153
MYS,Malaysia,2006,0.742,74.697,8.082500219
MYS,Malaysia,2007,0.754,74.961,8.575000286
MYS,Malaysia,2008,0.765,75.151,9.067500353
MYS,Malaysia,2009,0.773,75.269,9.56000042
MYS,Malaysia,2010,0.779,75.376,9.699999809
MYS,Malaysia,2011,0.782,75.488,9.811666489
MYS,Malaysia,2012,0.787,75.552,9.923333168
MYS,Malaysia,2013,0.791,75.464,10.03499985
MYS,Malaysia,2014,0.795,75.345,10.14666653
MYS,Malaysia,2015,0.8,75.288,10.25833321
MYS,Malaysia,2016,0.805,75.371,10.36999989
MYS,Malaysia,2017,0.807,75.542,10.46333313
MYS,Malaysia,2018,0.809,75.734,10.55666637
MYS,Malaysia,2019,0.812,75.9,10.64999962
MYS,Malaysia,2020,0.81,76.057,10.79666646
MYS,Malaysia,2021,0.802,73.917,10.94333331
MYS,Malaysia,2022,0.81,75.444,11.09000015
MYS,Malaysia,2023,0.819,76.657,11.09000015
PHL,Philippines,1990,0.593,64.382,7.179999828
PHL,Philippines,1991,0.594,64.622,7.218999863
PHL,Philippines,1992,0.599,65.353,7.257999897
PHL,Philippines,1993,0.602,65.661,7.296999931
PHL,Philippines,1994,0.606,66.0,7.335999966
PHL,Philippines,1995,0.609,66.311,7.375
PHL,Philippines,1996,0.619,66.691,7.414000034
PHL,Philippines,1997,0.623,66.994,7.453000069
PHL,Philippines,1998,0.624,67.212,7.492000103
PHL,Philippines,1999,0.628,67.503,7.531000137
PHL,Philippines,2000,0.632,67.789,7.570000172
PHL,Philippines,2001,0.636,67.829,7.837500215
PHL,Philippines,2002,0.643,67.886,8.105000257
PHL,Philippines,2003,0.648,68.049,8.3725003
PHL,Philippines,2004,0.655,68.301,8.640000343
PHL,Philippines,2005,0.656,68.423,8.657500267
PHL,Philippines,2006,0.654,68.172,8.675000191
PHL,Philippines,2007,0.659,68.549,8.692500114
PHL,Philippines,2008,0.662,68.643,8.710000038
PHL,Philippines,2009,0.662,68.631,8.809999943
PHL,Philippines,2010,0.669,68.883,8.909999847
PHL,Philippines,2011,0.674,69.096,8.989999771
PHL,Philippines,2012,0.681,69.237,9.069999695
PHL,Philippines,2013,0.687,69.283,9.149999619
PHL,Philippines,2014,0.689,69.311,8.90749979
PHL,Philippines,2015,0.69,69.45,8.664999962
PHL,Philippines,2016,0.69,69.49,8.422500134
PHL,Philippines,2017,0.694,69.966,8.180000305
PHL,Philippines,2018,0.7,69.761,8.575000286
PHL,Philippines,2019,0.708,69.68,8.970000267
PHL,Philippines,2020,0.699,70.097,8.890000343
PHL,Philippines,2021,0.69,66.675,9.433619976
PHL,Philippines,2022,0.714,69.472,9.977239609
PHL,Philippines,2023,0.72,69.833,9.977239609
SGP,Singapore,1990,0.819,74.598,7.539999962
SGP,Singapore,1991,0.826,75.058,7.768000031
SGP,Singapore,1992,0.833,75.326,7.996000099
SGP,Singapore,1993,0.84,75.533,8.224000168
SGP,Singapore,1994,0.848,75.627,8.452000237
SGP,Singapore,1995,0.854,75.725,8.680000305
SGP,Singapore,1996,0.859,76.05,8.83900032
SGP,Singapore,1997,0.866,76.389,8.998000336
SGP,Singapore,1998,0.869,76.851,9.157000351
SGP,Singapore,1999,0.875,77.271,9.316000366
SGP,Singapore,2000,0.882,77.752,9.475000381
SGP,Singapore,2001,0.885,78.267,9.634000397
SGP,Singapore,2002,0.891,78.736,9.793000412
SGP,Singapore,2003,0.897,79.178,9.952000427
SGP,Singapore,2004,0.905,79.658,10.11100044
SGP,Singapore,2005,0.911,80.271,10.27000046
SGP,Singapore,2006,0.911,80.64,10.10999966
SGP,Singapore,2007,0.914,80.885,10.21000004
SGP,Singapore,2008,0.924,81.099,10.48999977
SGP,Singapore,2009,0.928,81.428,10.5
SGP,Singapore,2010,0.932,81.647,10.93999958
SGP,Singapore,2011,0.933,81.942,11.0
SGP,Singapore,2012,0.933,82.209,11.02000046
SGP,Singapore,2013,0.934,82.468,11.14999962
SGP,Singapore,2014,0.934,82.615,11.22000027
SGP,Singapore,2015,0.935,82.748,11.36999989
SGP,Singapore,2016,0.934,82.897,11.38000011
SGP,Singapore,2017,0.935,83.095,11.34000015
SGP,Singapore,2018,0.939,83.378,11.56000042
SGP,Singapore,2019,0.942,83.662,11.68000031
SGP,Singapore,2020,0.944,83.661,11.76000023
SGP,Singapore,2021,0.948,83.485,12.07999992
SGP,Singapore,2022,0.942,82.921,11.98999977
SGP,Singapore,2023,0.946,83.736,11.98999977
THA,Thailand,1990,0.584,68.924,4.5103041
THA,Thailand,1991,0.593,69.132,4.628066609
THA,Thailand,1992,0.603,69.353,4.745829119
THA,Thailand,1993,0.612,69.568,4.863591628
THA,Thailand,1994,0.62,69.661,4.981354137
THA,Thailand,1995,0.628,69.757,5.099116646
THA,Thailand,1996,0.634,69.94,5.212168655
THA,Thailand,1997,0.639,70.362,5.325220664
THA,Thailand,1998,0.642,70.703,5.438272672
THA,Thailand,1999,0.65,70.979,5.551324681
THA,Thailand,2000,0.657,71.205,5.66437669
THA,Thailand,2001,0.667,71.52,6.04828247
THA,Thailand,2002,0.678,71.775,6.43218825
THA,Thailand,2003,0.69,72.101,6.816094029
THA,Thailand,2004,0.699,72.1,7.199999809
THA,Thailand,2005,0.707,72.894,7.0849998
THA,Thailand,2006,0.71,73.341,6.96999979
THA,Thailand,2007,0.721,73.779,7.129999876
THA,Thailand,2008,0.723,74.221,7.289999962
THA,Thailand,2009,0.725,74.669,7.450000048
THA,Thailand,2010,0.742,75.012,7.610000134
THA,Thailand,2011,0.747,75.302,7.710000038
THA,Thailand,2012,0.75,75.59,7.809999943
THA,Thailand,2013,0.752,75.96,7.909999847
THA,Thailand,2014,0.784,76.279,8.046666463
THA,Thailand,2015,0.788,76.563,8.183333079
THA,Thailand,2016,0.792,76.769,8.319999695
THA,Thailand,2017,0.794,76.989,8.34499979
THA,Thailand,2018,0.796,77.19,8.369999886
THA,Thailand,2019,0.8,77.197,8.699999809
THA,Thailand,2020,0.798,77.331,8.813333193
THA,Thailand,2021,0.8,77.606,8.926666578
THA,Thailand,2022,0.792,75.291,9.039999962
THA,Thailand,2023,0.798,76.412,9.039999962
VNM,Viet Nam,1990,0.499,69.027,4.098730664
VNM,Viet Nam,1991,0.509,69.303,4.236048544
VNM,Viet Nam,1992,0.521,69.62,4.373366424
VNM,Viet Nam,1993,0.531,69.957,4.510684304
VNM,Viet Nam,1994,0.543,70.379,4.648002184
VNM,Viet Nam,1995,0.556,70.871,4.785320064
VNM,Viet Nam,1996,0.567,71.296,4.955927127
VNM,Viet Nam,1997,0.578,71.67,5.12653419
VNM,Viet Nam,1998,0.588,72.283,5.297141254
VNM,Viet Nam,1999,0.596,72.575,5.467748317
VNM,Viet Nam,2000,0.604,72.746,5.63835538
VNM,Viet Nam,2001,0.612,72.984,5.850573922
VNM,Viet Nam,2002,0.621,73.138,6.062792464
VNM,Viet Nam,2003,0.63,73.236,6.275011006
VNM,Viet Nam,2004,0.638,73.062,6.487229548
VNM,Viet Nam,2005,0.647,73.198,6.69944809
VNM,Viet Nam,2006,0.656,73.293,6.909586058
VNM,Viet Nam,2007,0.664,73.385,7.119724026
VNM,Viet Nam,2008,0.672,73.455,7.329861994
VNM,Viet Nam,2009,0.679,73.525,7.539999962
VNM,Viet Nam,2010,0.686,73.611,7.629999924
VNM,Viet Nam,2011,0.693,73.713,7.719999886
VNM,Viet Nam,2012,0.698,73.762,7.809999847
VNM,Viet Nam,2013,0.704,73.821,7.899999809
VNM,Viet Nam,2014,0.711,73.886,7.989999771
VNM,Viet Nam,2015,0.717,73.955,8.079999733
VNM,Viet Nam,2016,0.723,73.984,8.169999695
VNM,Viet Nam,2017,0.729,74.026,8.259999657
VNM,Viet Nam,2018,0.737,74.1,8.349999619
VNM,Viet Nam,2019,0.744,74.211,8.43999958
VNM,Viet Nam,2020,0.755,75.383,8.619999568
VNM,Viet Nam,2021,0.754,74.145,8.799999555
VNM,Viet Nam,2022,0.764,74.502,8.979999542
VNM,Viet Nam,2023,0.766,74.588,8.979999542
